FullName|Reputation|Answers|Questions|PeopleReached|Location|Github|Membership|Tags
Bohemian|'337793'|8,631|123|35.6m|Melbourne, Australia||10 years, 4 months|java, mysql, regex, sql, string, arrays
Paolo Bergantino|'425235'|1,017|18|46.3m|Kennewick, WA||11 years, 8 months|python, jquery, php, html, mysql
Leo Dabus|'168113'|1,782||12.5m|Brazil|eodabus||swift, ios, macos, xcode, string, arrays
JohnnyHK|'244917'|2,473||14.1m|Wisconsin||8 years, 2 months|mongodb, node.js, mongoose, express
Bozho|'530190'|5,620|151|80.7m|Sofia, Bulgaria||10 years, 7 months|java, spring, hibernate, jpa, servlets
Martin Smith|'382515'|4,778|19|60.4m|London, United Kingdom||11 years, 3 months|sql, tsql, mysql
palaѕн|'58932'|1,886||12.5m|Bhubaneswar, India||7 years, 6 months|jquery, html, css, ajax, arrays
Arghya Sadhu|'12856'||||Bangalore, Karnataka, India|rghya|7 years, 6 months|docker, kubectl
Ryan Cavanaugh|'138434'|891||20.1m|Seattle, WA||7 years, 8 months|module, types, node.js, generics
templatetypedef|'303914'|3,946|168|17.1m|||9 years, 6 months|algorithm, c++, big-o, java, c
codaddict|'386676'|2,835||52.5m|Bangalore, India||10 years, 5 months|php, regex, string, java, c, c++
Joe Kington|'214452'|1,051||16.4m|Houston, TX|oferkington||python, numpy, scipy, arrays, plot
dasblinkenlight|'650287'|15,910|26|44.4m|United States|||c#, java, c++, c, ios
OneCricketeer|'109804'|6,430||14.7m|Austin, TX, United States|||android, java, python, hadoop
Nick Craver|'571740'|6,166||65.5m|Winston-Salem, NC||11 years, 8 months|jquery, html, css, jquery-ui
kennytm|'442690'|3,804|13|36.1m|Hong Kong|ennytm|10 years, 6 months|c++, python, iphone, c
Craig Ringer|'233748'|3,171|68|17.4m|Western Australia, Australia||9 years, 10 months|sql, database, python, java
Alex Mamo|'74806'|3,156||68.4m|Romania|lexmamo|4 years, 9 months|firebase, android, java
mipadi|'335367'|1,736|84|26.4m|San Francisco, CA|dippery|11 years, 7 months|git, python, github, macos, django
Brian Campbell|'267625'|1,017|17|22.2m|Montpelier, VT, USA|ambda|11 years, 3 months|git, shell, html, ruby, bash
tvanfosson|'467467'|5,334|41|66.0m|Iowa City, IA|vanfosson|11 years, 8 months|jquery, c#, .net, asp.net
Collin Jackson|'56458'|289||289.0m|San Francisco, CA, United States|ollinjackson|7 years, 11 months|flutter, dart, android, ios
abarnert|'287832'|6,348||31.5m|San Francisco, CA|barnert|8 years, 9 months|python, list, numpy, macos
AKX|'66809'|2,065||2,065.9m|Finland|kx|11 years, 5 months|python, django, html, reactjs
Paused until further notice.|'278104'|2,401|15|39.7m|United States||11 years, 8 months|bash, shell, linux, sed, awk, unix
Scott Boston|'86161'|2,995||10.7m|"Under ""Work From Home"" order in Houston, TX"|||pandas, python, dataframe, numpy
ansev|'22226'||||Badajoz, España|nsev||pandas, python, dataframe, numpy
Daniel Rearden|'42028'||||Lynchburg, VA, United States|anielrearden|4 years, 3 months|graphql, apollo, reactjs
Readonly|'285050'|21|115|14.8m|Chicago, Illinois, United States||11 years, 9 months|ruby, python, windows
ianhanniballake|'131561'|2,061||2,061.0m|Sunnyvale, CA, United States|anhanniballake|7 years, 8 months|android, java
rmaddy|'282430'|6,111||36.6m|||8 years, 3 months|ios, swift, xcode
Dan Abramov|'220687'|646||153.7m|London, UK|aearon|9 years, 8 months|redux, reactjs, c#, .net
ikegami|'298731'|7,434|19|12.8m|||9 years, 4 months|perl, regex, arrays, hash, c, bash
GManNickG|'435846'|1,388|17|16.2m|Kirkland, WA|icholasgorski|11 years, 2 months|c++, c++11, c, templates, stl, pointers
phihag|'232820'|2,182|57|25.6m|Düsseldorf, Germany|hihag|11 years, 7 months|python, php, json, html, css
KamilCuk|'39344'||||Warsaw, Poland||2 years, 5 months|bash, c, linux, c++, shell, awk
The fourth bird|'59851'||||The Netherlands||4 years, 8 months|regex, php, python, java, arrays
rici|'182221'|5,022||5,022.0m|Peru||7 years, 10 months|bash, c, c++, parsing, algorithm, bison
rob mayoff|'323250'|4,002||13.2m|Austin, TX, USA||11 years, 2 months|ios, swift, xcode, iphone
Reed Copsey|'502264'|7,415|18|45.7m|Yarmouth, ME, USA||11 years, 3 months|c#, .net, wpf, linq, c++
Barry|'222358'|3,774||208.9m|||7 years, 3 months|c++, c++11, c++17, templates, c++14
Eli Bendersky|'211787'|1,556|74|18.0m|California||11 years, 8 months|python, c, c++, llvm, algorithm, clang
bobince|'477321'|4,573||61.2m|Cambridge, UK||11 years, 8 months|html, css, python, unicode, jquery
RavinderSingh13|'53309'||||Velachery, Chennai, Tamil Nadu, India||4 years, 4 months|awk, bash, sed, shell, linux, unix
polygenelubricants|'330421'|1,431|110|34.2m|Palo Alto, CA||10 years, 3 months|java, regex, string, generics
DhruvPathak|'35672'|966||100.9m|India|hruvpathak|9 years, 9 months|python, php, mongodb, mysql, redis
Jens Erat|'31886'|910||910.7m|Stuttgart, Deutschland||9 years, 2 months|gnupg, xpath, xquery, xml, openpgp, pgp
mokugo-devops|'2723'||||Brighton, UK|hrisw||amazon-s3
Basheer AL-MOMANI|'10089'|230|10|13.2m|Jordan||5 years, 6 months|c#, .net, java, jquery, android, asp.net
Fareed Alnamrouti|'23735'|158||158.5m|Amman, Jordan|igital|9 years, 9 months|html, css, node.js, reactjs, jquery
niutech|'23137'|170||29.2m|Kraków, Poland|iutech|8 years, 9 months|html, css, node.js, ajax
Evgeni Sergeev|'16427'|129|43|10.4m|||8 years, 4 months|python, matlab, java, c++, vim
Kenny Horna|'7954'||||Lima, Peru|ennyhorna|3 years, 7 months|laravel, php, laravel-5, eloquent, laravel-6, mysql
kmaork|'3949'|||||maork|6 years, 7 months|python
Mikel Rychliski|'2433'||||Waterloo, ON, Canada|ikelr|4 years, 10 months|c++, linux, c, gcc, ld
hwnd|'63541'|1,786||12.5m|New Britain, CT, USA|wnder|7 years, 2 months|regex, r, php, python, string
Dylan Beattie|'48679'|171||145.0m|London, United Kingdom|ylanbeattie|11 years, 9 months|c#, html, .net, asp.net
Eric Schoonover|'42290'|161||129.1m|Alexandria, VA, USA|poon|11 years, 9 months|c#, .net, wcf
ʞɔıu|'41460'|123||147.8m|||11 years, 6 months|mysql, sql, python, regex, php, html
Nick Bolton|'32525'|85||189.5m|United Kingdom|bolton|11 years, 5 months|c++, python, macos, asp.net, c#, opengl
Hari Menon|'27171'|314||57.0m|Sunnyvale, CA, USA||9 years, 11 months|java, bash, linux, python, hadoop, sql
Surya sasidhar|'25709'|12||417.8m|Hyderabad, India||10 years, 9 months|asp.net, .net, c#, regex, sql
Tapas Bose|'23957'|128||387.8m|India|apasbose|9 years, 4 months|java, jsf-2, swing, jsf, hibernate
bigpotato|'21011'|94||635.1m|New York, NY, USA||7 years, 10 months|ruby, ios, swift
Rosdi Kasim|'17983'|165||60.1m|Malaysia|osdi|10 years, 7 months|java, c#, jboss, .net
user775187|'15921'|27||27.5m||||java, jdbc, hsqldb, sorting, mysql, grep
Luke West|'10320'||||||7 years, 8 months|xcode, ide, rename, ios, itunes
Alberto Morillo|'10115'||||Dominican Republic|lberto|2 years, 11 months|azure, sql, c#
Zincode|'8223'||||||7 years, 7 months|nicedit, events, shell, bash, jsf
Achim Zeileis|'8223'||||Innsbruck, Austria||5 years, 6 months|r, party, tree, r-exams, rpart
Witold Kaczurba|'6252'|133||27.9m|Limerick, Ireland|kaczurba|3 years, 8 months|java, spring, oracle, eclipse, maven
Wyck|'4239'||||Ontario, Canada||7 years, 10 months|c#, c++, .net, node.js, opengl
igg|'1561'||||Greece|||angular, c#, css
Ana Betts|'69202'|1,305||35.5m|San Francisco, CA, United States|naisbetts|11 years, 8 months|c#, .net, windows, wpf
g.d.d.c|'38313'|770||20.7m|Seattle|ddc||python, jquery, list, html
Roland Illig|'34983'|965||39.5m|Hamburg, Germany||10 years, 6 months|java, c, c++, linux, regex, bash
Nick Tomlin|'23831'|307||47.1m|Los Gatos, CA, USA|icktomlin|8 years, 6 months|node.js, css, html, reactjs, jquery
SkyWalker|'21855'|464||23.3m|Bangladesh|izvi||java, gradle, android, maven, spring
Mike Perham|'16036'||||Portland OR|perham|7 years, 11 months|sidekiq, ruby, redis
Matt Healy|'13836'|323||323.4m|Perth, Western Australia, Australia||10 years, 3 months|flask, mysql, python, html, perl, php
laike9m|'13192'|237||122.5m|Beijing, China|aike|7 years, 3 months|python, django, http
David Lozzi|'7430'||||Boston, MA||9 years, 8 months|c#, file, java, jquery
fdg13gustav|'1915'||||||2 years, 5 months|shell, bash, zsh, ctypes
Jeff Gilliland|'1185'||||||7 years, 3 months|angular, flexbox, javafx-2
Evan Mulawski|'49571'|700||12.0m|Tyngsborough, Massachusetts, United States||9 years, 7 months|ios, iphone, c#, html, php
